id,title,description,link,image_link,condition,availability,price,google_product_category,brand
407,"Hạt Giống Thù Lù Nam Mỹ - Cây Anh Đào Đất - 50 Hạt","Hạt Giống Thù Lù Nam Mỹ - Cây Anh Đào Đất - 50 Hạt",https://hatgionglamson.com/san-pham/hat-giong-thu-lu-nam-my-cay-anh-dao-dat-50-hat-407.html,/asset/upload/image/thu-lu-nam-my.jpg?v=20190410,New,"In Stock","40,000 VND",,
406,"Hạt Giống Sương Sâm Lông Rừng - 30 Hạt","Hạt Giống Sương Sâm Lông Rừng - 30 Hạt",https://hatgionglamson.com/san-pham/hat-giong-suong-sam-long-rung-30-hat-406.html,/asset/upload/image/hat-giong-la-cay-suong-sam-long-rung.jpg?v=20190410,New,"In Stock","35,000 VND",,
405,"Hạt Giống Măng Tây Chịu Nhiệt Năng Suất Cao - 20 Hạt","Hạt Giống Măng Tây Chịu Nhiệt Năng Suất Cao - 20 Hạt",https://hatgionglamson.com/san-pham/hat-giong-mang-tay-chiu-nhiet-nang-suat-cao-20-hat-405.html,/asset/upload/image/mang-tay-chiu-nhiet-nang-xuat-cao.jpg?v=20190410,New,"In Stock","35,000 VND",,
404,"Hạt Giống Sung Mỹ - 5 Hạt","Hạt Giống Sung Mỹ - 5 Hạt",https://hatgionglamson.com/san-pham/hat-giong-sung-my-5-hat-404.html,/asset/upload/image/hat-giong-sung-my.jpg?v=20190410,New,"In Stock","35,000 VND",,
403,"Hạt Giống Cà Chua Chuỗi Ngọc - 10 Hạt","Hạt Giống Cà Chua Chuỗi Ngọc - 10 Hạt",https://hatgionglamson.com/san-pham/hat-giong-ca-chua-chuoi-ngoc-10-hat-403.html,/asset/upload/image/ca-chua-chuoi-ngoc.jpg?v=20190410,New,"In Stock","35,000 VND",,
402,"Hạt Giống Cải KaLe Siêu Xoăn Lùn 40 cm","Hạt Giống Cải KaLe Siêu Xoăn Lùn 40 cm",https://hatgionglamson.com/san-pham/hat-giong-cai-kale-sieu-xoan-lun-40-cm-402.html,/asset/upload/image/cai-kale-sieu-xoan-lun.jpg?v=20190410,New,"In Stock","35,000 VND",,
401,"Hạt Giống Kinh Giới Tây - 200 Hạt","Hạt Giống Kinh Giới Tây - 200 Hạt",https://hatgionglamson.com/san-pham/hat-giong-kinh-gioi-tay-200-hat-401.html,/asset/upload/image/hat-giong-kinh-gioi-tay.jpg?v=20190410,New,"In Stock","35,000 VND",,
400,"Hạt Giống Xô Thơm - 20 Hạt","Hạt Giống Xô Thơm - 20 Hạt",https://hatgionglamson.com/san-pham/hat-giong-xo-thom-20-hat-400.html,/asset/upload/image/hat-giong-xo-thom.jpg?v=20190410,New,"In Stock","35,000 VND",,
399,"Hạt Giống Ngò Tây Siêu Xoăn - 2 Gram","Hạt Giống Ngò Tây Siêu Xoăn - 2 Gram",https://hatgionglamson.com/san-pham/hat-giong-ngo-tay-sieu-xoan-2-gram-399.html,/asset/upload/image/hat-giong-ngo-tay-sieu-xoan.jpg?v=20190410,New,"In Stock","35,000 VND",,
398,"Hạt Giống Gia Vị Ngò Tây Thơm- 2 Gram","Hạt Giống Gia Vị Ngò Tây Thơm- 2 Gram",https://hatgionglamson.com/san-pham/hat-giong-gia-vi-ngo-tay-thom-2-gram-398.html,/asset/upload/image/hat-giong-ngo-tay-thom.jpg?v=20190410,New,"In Stock","35,000 VND",,
397,"Hạt Giống Cà Chua Cherry Rũ Đỏ - 10 Hạt","Hạt Giống Cà Chua Cherry Rũ Đỏ - 10 Hạt",https://hatgionglamson.com/san-pham/hat-giong-ca-chua-cherry-ru-do-10-hat-397.html,/asset/upload/image/hat-giong-ca-chua-cherry-ru-do.jpg?v=20190410,New,"In Stock","35,000 VND",,
